NAME,Employee,Direct,Medicare,Medicaid,VA,state,county,noins
"Riverside County, California",84612,70555,321269,59980,16108,6,65,2.0
"San Bernardino County, California",62645,38969,222271,49336,10088,6,71,4239.0
"Marin County, California",20458,20044,52894,4750,1701,6,41,3541.0
"Placer County, California",31614,23799,69510,7022,4685,6,61,51.0
"Shasta County, California",11120,12300,34878,4315,1870,6,89,230.0
"Solano County, California",28327,16512,62358,8991,9924,6,95,41.0
"Colusa County, California",848,916,2911,509,188,6,11,412.0
"Copiah County, Mississippi",1057,1557,4535,1151,333,28,29,17.0
"Hinds County, Mississippi",8515,9272,30722,5937,1953,28,49,0.0
"Union County, Mississippi",778,1524,4467,730,237,28,145,136.0
"Tippah County, Mississippi",561,1221,3350,607,183,28,139,0.0
"Forrest County, Mississippi",1831,3043,9642,2102,1520,28,35,1.0
"Lafayette County, Mississippi",2255,2540,6050,766,472,28,71,41.0
"Lowndes County, Mississippi",1717,2950,8497,1244,1261,28,87,0.0
"Wilkinson County, Mississippi",182,395,1405,407,26,28,157,3.0
"Jefferson Davis County, Mississippi",671,548,2403,465,148,28,65,0.0
"Scott County, Mississippi",894,1424,3979,1025,149,28,123,0.0
"Yazoo County, Mississippi",512,1192,3465,1088,185,28,163,32.0
"Bolivar County, Mississippi",797,1494,4479,1240,142,28,11,16.0
"Pike County, Mississippi",1710,1760,6056,1673,425,28,113,0.0
"Stone County, Mississippi",648,943,2778,590,312,28,131,42.0
"Kemper County, Mississippi",362,696,1890,411,270,28,69,32.0
"Sunflower County, Mississippi",377,1048,3100,1016,52,28,133,0.0
"Adams County, Mississippi",1118,1563,5345,1274,300,28,1,0.0
"DeSoto County, Mississippi",6085,9498,21787,2809,1991,28,33,13.0
"Delaware County, Pennsylvania",33489,33562,83435,8571,1962,42,45,92.0
"Somerset County, Pennsylvania",4400,7103,14899,1873,486,42,111,295.0
"Madison County, Missouri",417,535,2150,383,292,29,123,110.0
"Vernon County, Missouri",685,1094,3536,245,234,29,217,0.0
"Nodaway County, Missouri",634,1558,3044,369,194,29,147,60.0
"Chariton County, Missouri",303,810,1652,177,64,29,41,13.0
"Wayne County, Missouri",701,1049,2930,532,137,29,223,0.0
"Scott County, Missouri",1526,2662,6471,830,282,29,201,15.0
"Barton County, Missouri",311,839,2256,291,139,29,11,20.0
"Cedar County, Missouri",675,888,3095,295,212,29,39,20.0
"Gasconade County, Missouri",753,1010,3027,202,89,29,73,16.0
"Macon County, Missouri",885,1347,3025,274,110,29,121,0.0
"Oregon County, Missouri",504,835,2321,247,291,29,149,37.0
"Ste. Genevieve County, Missouri",997,1152,3197,145,318,29,186,23.0
"Douglas County, Missouri",403,1199,2971,442,151,29,67,30.0
"Henry County, Missouri",1070,1585,4388,650,335,29,83,58.0
"Lawrence County, Missouri",1175,2318,6267,921,467,29,109,4.0
"Pulaski County, Missouri",1189,867,4141,423,1572,29,169,0.0
"Texas County, Missouri",1179,1597,4875,435,559,29,215,0.0
"Callaway County, Missouri",2541,2372,6718,347,469,29,27,106.0
"Cooper County, Missouri",765,1398,2796,266,191,29,53,0.0
"Gentry County, Missouri",135,540,1156,121,99,29,75,4.0
"Washington County, Virginia",3088,4365,11623,1185,564,51,191,13.0
"Page County, Virginia",1463,2148,4741,536,567,51,139,27.0
"Alexandria city, Virginia",9615,4266,15523,1348,2714,51,510,0.0
"Hampton city, Virginia",7811,6175,19499,2388,4916,51,650,637.0
"Arlington County, Virginia",14426,6738,21284,1857,2715,51,13,85.0
"Buchanan County, Virginia",1169,1115,4447,466,115,51,27,457.0
"Stafford County, Virginia",7667,4606,13888,938,3298,51,179,0.0
"Richmond city, Virginia",8425,8990,27343,4189,1619,51,760,34.0
"Essex County, Virginia",739,808,2222,249,120,51,57,248.0
"Tazewell County, Virginia",2318,2611,8612,874,408,51,185,15.0
"Manassas Park city, Virginia",511,291,1400,70,104,51,685,40.0
"Sussex County, Virginia",387,799,1774,204,133,51,183,14.0
"Manassas city, Virginia",1693,1114,3566,311,382,51,683,3.0
"Salem city, Virginia",1572,1642,4091,207,177,51,775,195.0
"Charlotte County, Virginia",489,932,2572,313,41,51,37,0.0
"Greensville County, Virginia",382,569,1628,140,164,51,81,0.0
"Thurston County, Washington",19114,15406,44858,5183,7142,53,67,0.0
"Columbia County, Washington",262,416,1069,136,50,53,13,100.0
"Guayanilla Municipio, Puerto Rico",452,323,3478,1334,37,72,59,19.0
"Sabana Grande Municipio, Puerto Rico",331,289,4689,1480,56,72,121,0.0
"Hormigueros Municipio, Puerto Rico",690,579,4195,1719,55,72,67,58.0
"Utuado Municipio, Puerto Rico",368,299,5756,2140,54,72,141,18.0
"Florida Municipio, Puerto Rico",97,195,1936,1274,0,72,54,31.0
"Moca Municipio, Puerto Rico",460,203,5900,2844,76,72,99,27.0
"Salinas Municipio, Puerto Rico",422,194,5122,1629,181,72,123,0.0
"Mississippi County, Missouri",218,796,2204,508,124,29,133,51.0
"Ozark County, Missouri",432,890,2447,267,84,29,153,3.0
"Bollinger County, Missouri",616,764,2307,277,77,29,17,10.0
"Sumner County, Tennessee",7826,7810,27168,2387,1602,47,165,12.0
"Trousdale County, Tennessee",457,376,1343,146,198,47,169,226.0
"Clay County, Tennessee",413,475,1711,233,56,47,27,0.0
"Moultrie County, Illinois",883,979,2332,217,85,17,139,16.0
