NAME,pop,state,county
"Coffee County, Georgia",43021,13,069
"Coweta County, Georgia",143260,13,077
"Gilmer County, Georgia",30414,13,123
"Walton County, Georgia",91442,13,297
"Wilkes County, Georgia",9844,13,317
"Dodge County, Georgia",20829,13,091
"Gordon County, Georgia",57202,13,129
"Cherokee County, Georgia",247515,13,057
"Fayette County, Georgia",112303,13,113
"Lee County, Georgia",29502,13,177
"Pickens County, Georgia",31387,13,227
"Greene County, Georgia",17349,13,133
"Cook County, Georgia",17177,13,075
"Dawson County, Georgia",24536,13,085
"Fulton County, Georgia",1036200,13,121
"Hawaii County, Hawaii",199459,15,001
"Honolulu County, Hawaii",984821,15,003
"Kauai County, Hawaii",71769,15,007
"Kalawao County, Hawaii",66,15,005
"Cassia County, Idaho",23690,16,031
"Lincoln County, Idaho",5350,16,063
"Valley County, Idaho",10709,16,085
"Franklin County, Idaho",13464,16,041
"Nez Perce County, Idaho",40217,16,069
"Kootenai County, Idaho",157322,16,055
"Minidoka County, Idaho",20705,16,067
"Twin Falls County, Idaho",84869,16,083
"Blaine County, Idaho",22373,16,013
"Boise County, Idaho",7378,16,015
"Butte County, Idaho",2581,16,023
"Gooding County, Idaho",15148,16,047
"Ada County, Idaho",456849,16,001
"Bear Lake County, Idaho",6000,16,007
"Bingham County, Idaho",45839,16,011
"Camas County, Idaho",1048,16,025
"Clearwater County, Idaho",8673,16,035
"Jefferson County, Idaho",28534,16,051
"Lane County, Oregon",373340,41,039
"Surry County, Virginia",6523,51,181
"Clarke County, Virginia",14423,51,043
"Mecklenburg County, Virginia",30728,51,117
"Augusta County, Virginia",75079,51,015
"Goochland County, Virginia",22865,51,075
"Madison County, Virginia",13170,51,113
"Roanoke County, Virginia",93823,51,161
"Brunswick County, Virginia",16520,51,025
"Northampton County, Virginia",11885,51,131
"Rockbridge County, Virginia",22570,51,163
"Norton city, Virginia",3970,51,720
"Colonial Heights city, Virginia",17428,51,570
"Bland County, Virginia",6388,51,021
"Botetourt County, Virginia",33343,51,023
"Bristol city, Virginia",16912,51,520
"Williamsburg city, Virginia",14927,51,830
"Carroll County, Virginia",29801,51,035
"Sacramento County, California",1524553,06,067
"El Dorado County, California",188563,06,017
