NAME,<15,15-24,25-34,35-64,65-74,>75
"Fayette County, Georgia",20349,15682,9789,46599,12406,7478
"Lee County, Georgia",6430,3736,3739,11906,2510,1181
"Pickens County, Georgia",5219,3324,3404,12732,4261,2447
"Greene County, Georgia",2780,1706,1722,6206,3160,1775
"Cook County, Georgia",3617,2258,2039,6534,1598,1131
"Dawson County, Georgia",4029,2982,2823,9789,3234,1679
"Fulton County, Georgia",190621,144933,174265,408154,72483,45744
"Hawaii County, Hawaii",36345,21437,23840,77565,25465,14807
"Honolulu County, Hawaii",177347,125377,150727,361001,92099,78270
"Kauai County, Hawaii",13264,7453,8776,28417,8378,5481
"Kalawao County, Hawaii",1,3,5,46,3,8
"Cassia County, Idaho",6319,3378,2823,7910,1859,1401
"Lincoln County, Idaho",1294,695,680,1986,425,270
"Valley County, Idaho",1509,680,1165,4406,1757,1192
"Franklin County, Idaho",3562,1955,1474,4614,1032,827
"Nez Perce County, Idaho",7074,5129,5139,14995,4287,3593
"Kootenai County, Idaho",29881,18444,19975,59940,17540,11542
"Minidoka County, Idaho",4945,2819,2479,7187,1875,1400
"Twin Falls County, Idaho",19832,11006,11903,29340,7163,5625
"Blaine County, Idaho",4022,2492,2343,9539,2557,1420
"Boise County, Idaho",953,678,498,3414,1256,579
"Butte County, Idaho",541,128,333,1043,304,232
"Gooding County, Idaho",3418,1989,1712,5501,1417,1111
"Ada County, Idaho",90064,58930,65774,178347,39443,24291
"Bear Lake County, Idaho",1295,729,635,2106,722,513
"Bingham County, Idaho",11834,6462,5290,15958,3768,2527
"Camas County, Idaho",237,79,98,437,136,61
"Clearwater County, Idaho",1080,819,903,3558,1359,954
"Jefferson County, Idaho",8026,4064,3406,9911,1938,1189
"Lane County, Oregon",57160,59807,48536,137654,42442,27741
"Surry County, Virginia",912,659,810,2729,868,545
"Clarke County, Virginia",2316,1749,1277,6091,1702,1288
"Mecklenburg County, Virginia",4791,3217,3064,11934,4415,3307
"Augusta County, Virginia",11628,8342,8612,31129,8923,6445
"Goochland County, Virginia",3163,2576,2105,10079,3184,1758
"Madison County, Virginia",2251,1338,1615,5117,1638,1211
"Roanoke County, Virginia",15325,10956,10440,37259,11255,8588
"Brunswick County, Virginia",2241,1974,2260,6593,1942,1510
"Northampton County, Virginia",2023,1158,1145,4466,1776,1317
"Rockbridge County, Virginia",3196,2363,2258,8999,3138,2616
"Norton city, Virginia",826,397,530,1566,352,299
"Colonial Heights city, Virginia",3355,1979,2159,6385,1762,1788
"Bland County, Virginia",842,601,772,2735,873,565
"Botetourt County, Virginia",5103,3728,3244,13966,4357,2945
"Bristol city, Virginia",2801,2027,2173,6455,1853,1603
"Williamsburg city, Virginia",1271,6217,1799,3298,1288,1054
"Carroll County, Virginia",4553,3012,3138,12007,4112,2979
"Sacramento County, California",303028,192945,238929,580055,123276,86320
"El Dorado County, California",30646,20889,19070,79388,23843,14727
"Monterey County, California",95906,61836,62605,155823,33366,23874
"San Francisco County, California",100717,78914,205361,354988,73974,61007
"San Diego County, California",605353,464149,545838,1246644,261738,192351
"Tulare County, California",119670,70877,65493,154327,30356,21175
"Humboldt County, California",21874,21603,18413,50532,14795,8723
"Alpine County, California",167,102,66,393,230,81
"Madera County, California",35979,21927,21551,54545,12996,8435
"Santa Cruz County, California",43928,50034,33633,103212,27359,15796
"Trinity County, California",1754,1099,1024,5413,2067,1343
"Riverside County, California",505816,345754,334925,884369,193685,146890
"San Bernardino County, California",473996,324415,325532,783127,147810,94151
"Marin County, California",42968,26572,22640,111593,32829,23341
"Placer County, California",70456,44659,42273,154352,42097,31675
"Shasta County, California",31991,20697,22866,67386,21397,14875
"Solano County, California",82174,55956,64538,171852,41051,26258
"Colusa County, California",4864,2913,2888,7707,1870,1212
"Copiah County, Mississippi",5460,4118,3428,10701,2834,1960
"Hinds County, Mississippi",48473,36802,34559,86406,19373,13184
"Union County, Mississippi",5946,3508,3681,10693,2682,1997
"Tippah County, Mississippi",4407,3287,2291,8584,2094,1355
"Forrest County, Mississippi",14716,13686,11265,25561,5735,4261
"Lafayette County, Mississippi",8263,13945,7660,17217,3980,2525
"Lowndes County, Mississippi",11669,8172,8117,22036,5411,3745
"Wilkinson County, Mississippi",1539,1106,1311,3422,928,569
"Jefferson Davis County, Mississippi",1905,1478,978,4501,1463,1014
"Scott County, Mississippi",6313,3567,3715,10520,2550,1667
"Yazoo County, Mississippi",5315,3517,4991,11103,2053,1586
"Bolivar County, Mississippi",6631,4599,4380,11458,3008,1772
"Pike County, Mississippi",8638,5446,4573,14304,3875,2696
"Stone County, Mississippi",3323,2865,2092,7063,1799,1134
"Kemper County, Mississippi",1455,1738,1208,3617,1075,850
"Sunflower County, Mississippi",4991,3680,4255,9858,2000,1384
"Adams County, Mississippi",5389,3576,3880,12705,3257,2459
"DeSoto County, Mississippi",37627,24503,22929,71285,14092,8539
"Delaware County, Pennsylvania",102809,78421,73139,219783,49907,40495
"Somerset County, Pennsylvania",11006,7894,8339,30944,8833,7345
"Madison County, Missouri",2231,1400,1497,4765,1270,1016
"Vernon County, Missouri",4037,2861,2181,7657,2154,1705
"Nodaway County, Missouri",2928,6959,2471,6685,1724,1592
"Chariton County, Missouri",1392,827,712,2775,871,906
"Wayne County, Missouri",2297,1368,1302,5179,1733,1316
"Scott County, Missouri",7740,4588,4738,14682,3959,2926
"Barton County, Missouri",2197,1520,1148,4560,1287,1085
"Cedar County, Missouri",2780,1528,1401,5058,1826,1450
"Gasconade County, Missouri",2492,1554,1553,5827,1776,1509
"Macon County, Missouri",3013,1696,1556,5591,1782,1561
"Oregon County, Missouri",2008,1126,1007,4041,1369,1096
"Ste. Genevieve County, Missouri",3112,2073,1920,7358,1947,1438
"Douglas County, Missouri",2408,1296,1314,5107,1813,1368
"Henry County, Missouri",3978,2213,2496,8402,2614,2032
"Lawrence County, Missouri",7967,4764,4257,14398,3681,3137
"Pulaski County, Missouri",9844,13649,9353,15204,2586,1789
"Texas County, Missouri",4558,2704,2871,10222,2903,2346
"Callaway County, Missouri",7783,6432,5856,17706,4335,2777
"Cooper County, Missouri",3183,2269,2507,6664,1669,1368
"Gentry County, Missouri",1383,746,783,2407,608,689
"Washington County, Virginia",7912,6275,5625,22255,6972,5032
"Page County, Virginia",3935,2465,2599,9823,2886,2080
"Alexandria city, Virginia",25095,12887,34479,67386,11217,6549
"Hampton city, Virginia",23890,20646,21200,49090,11791,8424
"Arlington County, Virginia",36038,24447,57586,90928,15018,9447
"Buchanan County, Virginia",3186,2239,2495,9199,2767,1902
"Stafford County, Virginia",31242,21581,19520,59573,9623,5234
"Richmond city, Virginia",34525,34218,48604,80190,17437,11648
"Essex County, Virginia",1891,1224,1006,4434,1472,971
"Tazewell County, Virginia",6573,4562,4499,17031,5274,3664
"Manassas Park city, Virginia",3664,2223,2693,6969,892,545
"Sussex County, Virginia",1471,1511,1828,4598,1142,827
"Manassas city, Virginia",9448,5323,6304,16096,2575,1428
"Salem city, Virginia",3934,4275,2926,9379,2653,2150
"Charlotte County, Virginia",2122,1469,1120,4695,1480,1154
"Greensville County, Virginia",1537,1193,2098,4987,1072,638
"Thurston County, Washington",50158,33171,40356,109096,29229,17701
"Columbia County, Washington",661,289,357,1557,648,480
"Guayanilla Municipio, Puerto Rico",3114,2465,2265,6968,2169,1533
"Sabana Grande Municipio, Puerto Rico",3585,3281,2303,8399,2755,2237
