NAME,Employee,Direct,Medicare,Medicaid,VA,state,county,noins
"Bucks County, Pennsylvania",100791,10671,349,29089,1859,42,17,7.0
"Lehigh County, Pennsylvania",46712,5055,283,37006,650,42,77,3042.0
"Clarion County, Pennsylvania",4333,742,2,2935,60,42,31,2883.0
"Greene County, Pennsylvania",4610,527,51,2671,95,42,59,882.0
"Luzerne County, Pennsylvania",33779,3766,627,30579,698,42,79,230.0
"Columbia County, Pennsylvania",8708,679,80,4555,57,42,37,1789.0
"Jefferson County, Pennsylvania",4932,555,26,3860,81,42,65,439.0
"Perry County, Pennsylvania",5828,524,24,3352,119,42,99,1165.0
"Sullivan County, Pennsylvania",509,42,5,267,25,42,113,1357.0
"Kent County, Rhode Island",22568,1959,142,9151,320,44,3,54.0
"Washington County, Rhode Island",17353,2370,25,4958,741,44,9,706.0
"Newberry County, South Carolina",4336,319,46,4397,321,45,71,214.0
"Clarendon County, South Carolina",2196,266,31,4610,79,45,27,229.0
"Sumter County, South Carolina",8308,1491,118,14721,4429,45,85,113.0
"Barnwell County, South Carolina",1186,569,30,3691,130,45,11,988.0
"Darlington County, South Carolina",7144,641,66,8770,114,45,31,274.0
"York County, South Carolina",42716,5020,193,20252,1312,45,91,562.0
"Cherokee County, South Carolina",6676,907,81,7099,156,45,21,1905.0
"Jasper County, South Carolina",1716,446,42,4256,99,45,53,465.0
"Lee County, South Carolina",823,222,25,2749,234,45,61,291.0
"Abbeville County, South Carolina",2543,241,0,2911,89,45,1,117.0
"Lyman County, South Dakota",369,122,11,532,0,46,85,329.0
"Deuel County, South Dakota",687,96,14,264,7,46,39,176.0
"Glenn County, California",3139,579,0,4433,9,6,21,12.0
"Butte County, California",23795,4106,339,22742,388,6,7,359.0
"Kings County, California",15536,1892,3319,20406,4352,6,31,1564.0
"Plumas County, California",1870,317,14,1237,49,6,63,1348.0
"San Luis Obispo County, California",32591,5778,218,18591,902,6,79,84.0
"Fresno County, California",109616,19238,2777,175135,2662,6,19,2132.0
"Kern County, California",105836,12719,1326,153927,3817,6,29,8499.0
"Orange County, California",397015,80240,4426,273112,4082,6,59,8786.0
"Ventura County, California",110262,16554,864,76967,5456,6,111,24729.0
"Calaveras County, California",4666,482,147,3381,222,6,9,7395.0
"Sutter County, California",10544,1831,79,14022,1005,6,101,59.0
"San Mateo County, California",117677,15017,500,37788,679,6,81,1103.0
"Tuolumne County, California",4995,528,78,3567,34,6,109,3072.0
"San Joaquin County, California",100397,12564,1241,103041,1581,6,77,575.0
"Amador County, California",3079,564,29,2545,71,6,5,5397.0
"Phillips County, Colorado",516,96,0,579,7,8,95,208.0
"Archuleta County, Colorado",749,551,0,1064,33,8,7,154.0
"Denver County, Colorado",63295,12227,1822,68238,1229,8,31,186.0
"Kiowa County, Colorado",205,23,0,168,3,8,61,6120.0
"Huerfano County, Colorado",340,92,17,573,0,8,55,10.0
"Baca County, Colorado",269,31,0,411,28,8,9,133.0
"Gilpin County, Colorado",437,180,11,231,0,8,47,36.0
"Kit Carson County, Colorado",755,288,14,738,2,8,63,21.0
"Gunnison County, Colorado",1760,628,17,1110,0,8,51,164.0
"Mineral County, Colorado",53,0,0,40,8,8,79,95.0
"Ouray County, Colorado",450,79,0,157,55,8,91,4.0
"Sedgwick County, Colorado",261,75,0,337,0,8,115,103.0
"Weld County, Colorado",47338,6763,441,29948,1368,8,123,9.0
"Custer County, Colorado",147,88,0,379,0,8,27,3934.0
"Costilla County, Colorado",103,16,20,603,0,8,23,249.0
"Douglas County, Colorado",76026,9425,190,9627,1839,8,35,40.0
"Lake County, Colorado",549,86,57,594,0,8,65,1652.0
"La Plata County, Colorado",6357,1458,70,3356,117,8,67,154.0
"Pitkin County, Colorado",1597,815,0,645,76,8,97,809.0
"Rio Grande County, Colorado",975,187,0,1481,12,8,105,173.0
"Bent County, Colorado",240,21,3,644,14,8,11,359.0
"Crowley County, Colorado",176,77,11,753,35,8,25,34.0
"San Juan County, Colorado",21,23,0,32,0,8,111,55.0
"Larimer County, Colorado",44124,9164,564,19786,1069,8,69,0.0
"Logan County, Colorado",2310,407,40,2172,49,8,75,3507.0
"San Miguel County, Colorado",744,410,4,301,3,8,113,263.0
"Teller County, Colorado",2387,235,209,1555,214,8,119,61.0
"Elbert County, Colorado",4004,634,0,1392,190,8,39,307.0
