NAME,white,black,amindia,asia,pacific,other,2m,state,county
"Fulton County, Georgia",462133,456855,4213,73129,316,15345,24209,13,121
"Hawaii County, Hawaii",66493,1266,977,44971,24338,3799,57615,15,001
"Honolulu County, Hawaii",206218,23603,1900,420093,93980,10332,228695,15,003
"Kauai County, Hawaii",23229,309,408,23698,6568,437,17120,15,007
"Kalawao County, Hawaii",16,2,1,14,18,0,15,15,005
"Cassia County, Idaho",22067,52,277,139,14,819,322,16,031
"Lincoln County, Idaho",4978,0,32,22,0,170,148,16,063
"Valley County, Idaho",10576,6,22,29,0,35,41,16,085
"Franklin County, Idaho",12748,35,115,20,2,287,257,16,041
"Nez Perce County, Idaho",36037,143,2473,332,5,148,1079,16,069
"Kootenai County, Idaho",147874,494,2138,1433,171,810,4402,16,055
"Minidoka County, Idaho",19373,32,267,55,25,675,278,16,067
"Twin Falls County, Idaho",77944,689,605,1562,45,2402,1622,16,083
"Blaine County, Idaho",21206,98,159,237,38,276,359,16,013
"Boise County, Idaho",7016,19,32,71,5,23,212,16,015
"Butte County, Idaho",2567,4,0,0,0,10,0,16,023
"Gooding County, Idaho",14091,13,69,139,36,417,383,16,047
"Ada County, Idaho",413350,6274,2407,11617,839,6965,15397,16,001
"Bear Lake County, Idaho",5659,53,68,40,0,114,66,16,007
"Bingham County, Idaho",37701,143,2936,263,24,3197,1575,16,011
"Camas County, Idaho",1045,0,0,0,0,0,3,16,025
"Clearwater County, Idaho",8040,46,191,35,20,121,220,16,035
"Jefferson County, Idaho",26039,0,350,127,14,1532,472,16,051
"Lane County, Oregon",323102,4064,4132,10127,948,10908,20059,41,039
"Surry County, Virginia",3454,2897,3,11,0,11,147,51,181
"Clarke County, Virginia",12951,777,0,102,0,212,381,51,043
"Mecklenburg County, Virginia",19193,10891,175,29,4,107,329,51,117
"Augusta County, Virginia",69533,3195,206,460,102,250,1333,51,015
"Goochland County, Virginia",18355,3655,4,297,0,89,465,51,075
"Madison County, Virginia",11259,1087,0,111,0,225,488,51,113
"Roanoke County, Virginia",82563,5571,184,2913,11,581,2000,51,161
"Brunswick County, Virginia",6931,8996,0,85,0,144,364,51,025
"Northampton County, Virginia",7371,3953,4,123,0,95,339,51,131
"Rockbridge County, Virginia",21067,737,85,149,0,95,437,51,163
"Norton city, Virginia",3565,122,0,184,0,0,99,51,720
"Colonial Heights city, Virginia",13163,2673,50,724,20,265,533,51,570
"Bland County, Virginia",6066,243,0,10,0,6,63,51,021
"Botetourt County, Virginia",31393,994,50,223,0,89,594,51,023
"Bristol city, Virginia",15299,964,0,38,0,73,538,51,520
"Williamsburg city, Virginia",10961,2246,53,963,0,169,535,51,830
"Carroll County, Virginia",29012,213,76,17,0,49,434,51,035
"Sacramento County, California",873905,149891,10111,239447,17400,119922,113877,06,067
"El Dorado County, California",165234,1516,1532,8540,486,3992,7263,06,017
"Monterey County, California",230992,11367,2993,24326,2135,143041,18556,06,053
"San Francisco County, California",406056,45556,3223,301018,3188,67207,48713,06,075
"San Diego County, California",2345667,166750,22524,394742,13867,198729,173794,06,073
"Tulare County, California",340462,7201,6118,16690,766,74949,15712,06,107
"Humboldt County, California",108557,1506,6846,4196,488,5707,8640,06,023
"Alpine County, California",599,9,353,10,6,9,53,06,003
"Madera County, California",108100,4949,2489,3229,176,31429,5061,06,039
"Santa Cruz County, California",204866,2904,1505,13134,337,38130,13086,06,087
"Trinity County, California",10924,127,716,226,28,428,251,06,105
"Riverside County, California",1444654,156836,19765,157261,7485,519122,106316,06,065
"San Bernardino County, California",1315238,179292,17782,154332,6838,368600,106949,06,071
"Marin County, California",202313,5767,911,15367,571,22258,12756,06,041
"Placer County, California",316716,6626,2052,28909,858,11358,18993,06,061
"Shasta County, California",155124,2088,4832,5798,254,3607,7509,06,089
"Solano County, California",232437,61526,2215,68200,4101,40346,33004,06,095
"Colusa County, California",18949,327,225,309,38,997,609,06,011
"Copiah County, Mississippi",12849,14698,6,108,0,449,391,28,029
"Hinds County, Mississippi",60513,173413,329,1851,74,1277,1340,28,049
"Union County, Mississippi",22559,4424,10,102,0,936,476,28,145
"Tippah County, Mississippi",17041,3686,16,63,11,830,371,28,139
"Forrest County, Mississippi",44649,27951,163,639,30,198,1594,28,035
"Lafayette County, Mississippi",38275,12657,132,1116,19,798,593,28,071
"Lowndes County, Mississippi",31595,25902,83,602,10,166,792,28,087
"Wilkinson County, Mississippi",2475,6307,0,10,0,21,62,28,157
"Jefferson Davis County, Mississippi",4303,6950,0,14,0,12,60,28,065
"Scott County, Mississippi",16211,10791,123,73,0,935,199,28,123
"Yazoo County, Mississippi",10533,17027,92,126,0,444,343,28,163
"Bolivar County, Mississippi",10497,20453,40,286,0,424,148,28,011
"Pike County, Mississippi",17315,21456,198,125,0,169,269,28,113
"Stone County, Mississippi",14300,3351,34,0,17,0,574,28,131
"Kemper County, Mississippi",3433,6134,364,7,0,0,5,28,069
"Sunflower County, Mississippi",6595,19332,33,20,0,103,85,28,133
"Adams County, Mississippi",12796,17610,95,187,0,240,338,28,001
"DeSoto County, Mississippi",119455,48835,352,2524,25,3817,3967,28,033
"Delaware County, Pennsylvania",388106,121802,1167,32094,222,6515,14648,42,045
"Somerset County, Pennsylvania",70757,1913,67,251,5,295,1073,42,111
"Madison County, Missouri",11798,92,25,69,0,16,179,29,123
"Vernon County, Missouri",19685,111,133,148,0,27,491,29,217
"Nodaway County, Missouri",20946,617,49,306,28,88,325,29,147
"Chariton County, Missouri",7142,191,3,0,0,0,147,29,041
"Wayne County, Missouri",12747,73,29,36,0,0,310,29,223
"Scott County, Missouri",32934,4494,144,160,0,198,703,29,201
"Barton County, Missouri",10959,35,291,4,9,23,476,29,011
"Cedar County, Missouri",13507,7,44,30,0,69,386,29,039
"Gasconade County, Missouri",14300,79,71,50,0,24,187,29,073
"Macon County, Missouri",14346,297,101,94,3,33,325,29,121
"Oregon County, Missouri",10157,16,166,51,12,43,202,29,149
"Ste. Genevieve County, Missouri",17257,350,0,102,0,27,112,29,186
"Douglas County, Missouri",13079,30,67,11,0,80,39,29,067
"Henry County, Missouri",20743,273,88,107,2,55,467,29,083
"Lawrence County, Missouri",36225,184,313,14,60,629,779,29,109
"Pulaski County, Missouri",39671,5879,490,1316,390,1550,3129,29,169
"Texas County, Missouri",23769,559,438,190,7,77,564,29,215
"Callaway County, Missouri",41309,1969,243,366,148,26,828,29,027
"Cooper County, Missouri",15675,1029,86,80,33,112,645,29,053
"Gentry County, Missouri",6442,39,19,36,4,13,63,29,075
"Washington County, Virginia",51972,750,80,305,12,208,744,51,191
"Page County, Virginia",22671,327,25,103,0,156,506,51,139
"Alexandria city, Virginia",98017,34287,353,9280,46,7233,8397,51,510
"Hampton city, Virginia",55513,67450,632,3352,226,2198,5670,51,650
"Arlington County, Virginia",166912,21360,833,23959,294,11215,8891,51,013
"Buchanan County, Virginia",20678,592,53,225,0,107,133,51,027
"Stafford County, Virginia",98791,25929,466,4910,118,8601,7958,51,179
"Richmond city, Virginia",103054,106193,962,4757,44,3902,7710,51,760
"Essex County, Virginia",6115,4319,0,68,0,313,183,51,057
"Tazewell County, Virginia",39273,1336,104,255,32,123,480,51,185
"Manassas Park city, Virginia",10576,2607,23,1884,8,1230,658,51,685
"Sussex County, Virginia",4535,6288,0,146,0,87,321,51,183
"Manassas city, Virginia",27233,5599,311,2143,79,3661,2148,51,683
"Salem city, Virginia",22115,1706,34,438,24,237,763,51,775
"Charlotte County, Virginia",8415,3371,6,48,0,17,183,51,037
"Greensville County, Virginia",4350,6844,6,7,0,44,274,51,081
"Thurston County, Washington",227952,8826,3810,15832,2265,4056,16970,53,067
"Columbia County, Washington",3568,36,7,72,42,55,212,53,013
"Guayanilla Municipio, Puerto Rico",14531,399,17,134,0,3312,121,72,059
"Sabana Grande Municipio, Puerto Rico",15875,474,55,0,0,5771,385,72,121
"Hormigueros Municipio, Puerto Rico",4095,379,0,0,0,11201,268,72,067
"Utuado Municipio, Puerto Rico",15154,296,19,49,0,12613,545,72,141
"Florida Municipio, Puerto Rico",9778,183,0,99,0,1441,196,72,054
"Moca Municipio, Puerto Rico",29787,1159,0,29,0,4848,338,72,099
"Salinas Municipio, Puerto Rico",16127,10807,22,52,0,913,188,72,123
"Mississippi County, Missouri",9913,3377,122,9,6,15,132,29,133
"Ozark County, Missouri",8838,6,89,47,0,9,218,29,153
"Bollinger County, Missouri",11872,50,105,44,0,0,154,29,017
"Sumner County, Tennessee",159883,13457,465,2564,164,2818,4086,47,165
"Trousdale County, Tennessee",8690,1042,54,25,0,30,390,47,169
"Clay County, Tennessee",7258,183,0,8,0,137,68,47,027
"Moultrie County, Illinois",14310,112,58,23,0,40,98,17,139
"Pike County, Illinois",15185,191,29,57,0,37,173,17,149
"Pope County, Illinois",3893,177,0,24,0,46,63,17,151
"St. Clair County, Illinois",168096,78532,590,3861,69,3402,7788,17,163
"Shelby County, Illinois",21357,149,17,63,8,3,140,17,173
"Champaign County, Illinois",150820,28283,348,22579,179,2137,5576,17,019
"Calhoun County, Illinois",4719,15,25,43,0,1,27,17,013
