NAME,Employee,Direct,Medicare,Medicaid,VA,state,county,noins
"Blaine County, Idaho",7751,2135,164,585,22,16,13,8457.0
"Boise County, Idaho",2318,749,311,257,169,16,15,2703.0
"Butte County, Idaho",701,208,102,160,22,16,23,761.0
"Gooding County, Idaho",3851,1297,384,836,267,16,47,376.0
"Ada County, Idaho",183646,39576,7586,17344,6708,16,1,2185.0
"Bear Lake County, Idaho",2058,544,143,261,36,16,7,31835.0
"Bingham County, Idaho",14902,3701,1101,2265,505,16,11,313.0
"Camas County, Idaho",257,111,21,17,53,16,25,3958.0
"Clearwater County, Idaho",2316,481,334,451,102,16,35,107.0
"Jefferson County, Idaho",9108,3317,537,1324,347,16,51,793.0
"Lane County, Oregon",128764,27986,9498,50871,3175,41,39,2084.0
"Surry County, Virginia",2422,310,198,366,148,51,181,22636.0
"Clarke County, Virginia",5597,1202,160,250,50,51,43,665.0
"Mecklenburg County, Virginia",8865,2244,1405,2308,241,51,117,1447.0
"Augusta County, Virginia",27526,4710,1888,2853,798,51,15,2590.0
"Goochland County, Virginia",9750,1864,484,317,188,51,75,4910.0
"Madison County, Virginia",4955,750,266,595,101,51,113,947.0
"Roanoke County, Virginia",39802,5485,2109,2807,1256,51,161,1210.0
"Brunswick County, Virginia",4432,1035,461,1476,259,51,25,3968.0
"Northampton County, Virginia",3332,808,379,901,174,51,131,1109.0
"Rockbridge County, Virginia",7856,1759,559,1236,157,51,163,1012.0
"Norton city, Virginia",1170,178,184,554,60,51,720,1554.0
"Colonial Heights city, Virginia",6438,1073,285,1007,710,51,570,422.0
"Bland County, Virginia",2123,323,225,335,48,51,21,1120.0
"Botetourt County, Virginia",14112,2310,1027,1055,373,51,23,321.0
"Bristol city, Virginia",4500,1081,857,1826,140,51,520,1201.0
"Williamsburg city, Virginia",6801,1572,99,383,613,51,830,1592.0
"Carroll County, Virginia",9448,2354,1527,2175,310,51,35,820.0
"Sacramento County, California",563667,89931,34104,221163,10521,6,67,2709.0
"El Dorado County, California",71653,16143,3911,18464,922,6,17,71745.0
"Monterey County, California",131315,25449,6069,51142,4620,6,53,7258.0
"San Francisco County, California",432736,81037,13325,86454,1918,6,75,36502.0
"San Diego County, California",1184877,253749,48343,324417,105190,6,73,29104.0
"Tulare County, California",111711,18400,19268,88577,2090,6,107,217504.0
"Humboldt County, California",38589,12919,4062,25200,576,6,23,32917.0
"Alpine County, California",249,47,21,141,8,6,3,9353.0
"Madera County, California",36238,8591,2422,28950,616,6,39,84.0
"Santa Cruz County, California",101885,31838,5271,30404,1064,6,87,10265.0
"Trinity County, California",2588,988,809,1965,74,6,105,12472.0
"Riverside County, California",766014,138340,42003,330221,29649,6,65,1141.0
"San Bernardino County, California",693202,108134,38872,328471,16947,6,71,179275.0
"Marin County, California",93789,30944,3517,15873,590,6,41,149692.0
"Placer County, California",154788,27586,6984,28573,3685,6,61,8226.0
"Shasta County, California",53087,12429,6343,27794,1438,6,89,12730.0
"Solano County, California",172781,23501,8725,46929,11893,6,95,10079.0
"Colusa County, California",5894,1284,305,3157,117,6,11,17588.0
"Copiah County, Mississippi",8666,1339,1199,3011,211,28,29,1888.0
"Hinds County, Mississippi",79089,18954,7014,20130,2225,28,49,3458.0
