NAME,poverty,state,county
"Burke County, Georgia",4928,13,033
"Catoosa County, Georgia",6516,13,047
"Chattahoochee County, Georgia",1418,13,053
"Chattooga County, Georgia",4415,13,055
"Columbia County, Georgia",11173,13,073
"Decatur County, Georgia",6203,13,087
"Floyd County, Georgia",17122,13,115
"Forsyth County, Georgia",12937,13,117
"Habersham County, Georgia",6381,13,137
"Hart County, Georgia",3750,13,147
"Lowndes County, Georgia",27120,13,185
"McIntosh County, Georgia",2465,13,191
"Meriwether County, Georgia",4806,13,199
"Monroe County, Georgia",3625,13,207
"Putnam County, Georgia",3449,13,237
"Sumter County, Georgia",7567,13,261
"Taliaferro County, Georgia",340,13,265
"Warren County, Georgia",1402,13,301
"Wayne County, Iowa",1086,19,185
"Scott County, Iowa",20389,19,163
"Sherman County, Kansas",660,20,181
"Thomas County, Kansas",883,20,193
"Morris County, Kansas",493,20,127
"Rooks County, Kansas",380,20,163
"Clark County, Kansas",213,20,025
"Harper County, Kansas",874,20,077
"Lyon County, Kansas",5356,20,111
"Pawnee County, Kansas",353,20,145
"Comanche County, Kansas",175,20,033
"Gove County, Kansas",259,20,063
"Harvey County, Kansas",3172,20,079
"Kearny County, Kansas",749,20,093
"McPherson County, Kansas",2382,20,113
"Desha County, Arkansas",3363,05,041
"Fulton County, Arkansas",2491,05,049
"Howard County, Arkansas",2539,05,061
"Garland County, Arkansas",18032,05,051
"Mississippi County, Arkansas",10017,05,093
"Pope County, Arkansas",11349,05,115
"Prairie County, Arkansas",1180,05,117
"Union County, Arkansas",7444,05,139
"Woodruff County, Arkansas",1596,05,147
"Cleburne County, Arkansas",3452,05,023
"Cleveland County, Arkansas",1475,05,025
"Jackson County, Arkansas",3489,05,067
"Hempstead County, Arkansas",4892,05,057
"Sharp County, Arkansas",3743,05,135
"Stone County, Arkansas",2449,05,137
"Washington County, Arkansas",36730,05,143
"Baxter County, Arkansas",5360,05,005
"Ashley County, Arkansas",3347,05,003
"Craighead County, Arkansas",17130,05,031
"Greene County, Arkansas",7246,05,055
"Perry County, Arkansas",1830,05,105
"Poinsett County, Arkansas",5000,05,111
"Sevier County, Arkansas",3590,05,133
"Calhoun County, Arkansas",680,05,013
"Clark County, Arkansas",4017,05,019
"Lawrence County, Arkansas",2497,05,075
"Monroe County, Arkansas",1887,05,095
"Conway County, Arkansas",3649,05,029
"Newton County, Arkansas",1226,05,101
"Arkansas County, Arkansas",3041,05,001
"Lonoke County, Arkansas",8775,05,085
"Carroll County, Arkansas",4096,05,015
"St. Francis County, Arkansas",5585,05,123
"Pulaski County, Arkansas",64988,05,119
"Merced County, California",56217,06,047
"Mariposa County, California",2616,06,043
"Modoc County, California",1618,06,049
"Contra Costa County, California",98595,06,013
"Inyo County, California",1635,06,027
"Stanislaus County, California",81415,06,099
"Santa Barbara County, California",57556,06,083
"Tehama County, California",13930,06,103
"Mono County, California",1713,06,051
"San Benito County, California",5061,06,069
"Bryan County, Georgia",4565,13,029
"Butts County, Georgia",4565,13,035
"Camden County, Georgia",7961,13,039
"Crawford County, Georgia",2430,13,079
"Early County, Georgia",3086,13,099
"Coffee County, Georgia",7786,13,069
"Coweta County, Georgia",15191,13,077
"Gilmer County, Georgia",5059,13,123
"Walton County, Georgia",10901,13,297
"Wilkes County, Georgia",2294,13,317
"Dodge County, Georgia",4075,13,091
"Gordon County, Georgia",10186,13,129
"Cherokee County, Georgia",18356,13,057
"Fayette County, Georgia",6167,13,113
"Lee County, Georgia",3632,13,177
"Pickens County, Georgia",3175,13,227
"Greene County, Georgia",3353,13,133
"Cook County, Georgia",4051,13,075
"Dawson County, Georgia",2084,13,085
"Fulton County, Georgia",144224,13,121
"Hawaii County, Hawaii",30632,15,001
"Honolulu County, Hawaii",79070,15,003
"Kauai County, Hawaii",5752,15,007
"Kalawao County, Hawaii",6,15,005
"Cassia County, Idaho",3334,16,031
"Lincoln County, Idaho",641,16,063
"Valley County, Idaho",764,16,085
"Franklin County, Idaho",1394,16,041
"Nez Perce County, Idaho",5215,16,069
"Kootenai County, Idaho",18244,16,055
"Minidoka County, Idaho",3428,16,067
"Twin Falls County, Idaho",11975,16,083
"Blaine County, Idaho",2797,16,013
"Boise County, Idaho",787,16,015
"Butte County, Idaho",458,16,023
"Gooding County, Idaho",2443,16,047
"Ada County, Idaho",48513,16,001
"Bear Lake County, Idaho",998,16,007
"Bingham County, Idaho",5039,16,011
"Camas County, Idaho",163,16,025
"Clearwater County, Idaho",989,16,035
"Jefferson County, Idaho",1953,16,051
"Lane County, Oregon",64457,41,039
"Surry County, Virginia",1033,51,181
"Clarke County, Virginia",1080,51,043
"Mecklenburg County, Virginia",5627,51,117
"Augusta County, Virginia",6128,51,015
"Goochland County, Virginia",1133,51,075
"Madison County, Virginia",852,51,113
"Roanoke County, Virginia",6335,51,161
"Brunswick County, Virginia",2883,51,025
"Northampton County, Virginia",2079,51,131
"Rockbridge County, Virginia",3167,51,163
"Norton city, Virginia",1102,51,720
"Colonial Heights city, Virginia",2083,51,570
"Bland County, Virginia",564,51,021
"Botetourt County, Virginia",2126,51,023
"Bristol city, Virginia",3753,51,520
"Williamsburg city, Virginia",2188,51,830
